gid,lon,lat,인구,LISA_I,LISA유형,Gi_z
라라059635,127.565178,34.966816,33,0.0007,LL,-0.14
라라059636,127.565179,34.967718,7,-0.243,LH,2.651
라라059637,127.565179,34.968619,680,6.8977,HH,5.162
라라059638,127.56518,34.969521,343,7.0457,HH,6.487
라라059652,127.56519,34.982146,0,0.0889,LL,-0.422
라라059659,127.565195,34.988458,0,0.0373,LL,-0.317
라라059661,127.565197,34.990261,11,0.0409,LL,-0.494
라라059662,127.565197,34.991163,9,0.0546,LL,-0.596
라라059691,127.565218,35.017314,0,0.0889,LL,-0.596
라라059721,127.56524,35.044366,0,0.0,이웃없음,-0.298
라라059724,127.565242,35.047071,0,0.0,이웃없음,-0.298
라라059728,127.565245,35.050678,15,0.0429,LL,-0.532
라라059729,127.565245,35.05158,6,0.058,LL,-0.532
라라059730,127.565246,35.052481,0,0.0728,LL,-0.57
라라059731,127.565247,35.053383,12,0.0579,LL,-0.457
라라059739,127.565252,35.060597,0,0.0889,LL,-0.422
라라059741,127.565254,35.0624,17,0.0411,LL,-0.484
라라059742,127.565255,35.063302,9,0.0549,LL,-0.484
라라060607,127.566253,34.941566,12,0.047,LL,-0.392
라라060625,127.566266,34.957798,0,0.0,이웃없음,-0.298
라라060632,127.566271,34.96411,0,0.0438,LL,-0.396
라라060633,127.566272,34.965012,17,0.0182,LL,-0.352
라라060634,127.566273,34.965914,0,0.0125,LL,-0.212
라라060635,127.566273,34.966815,14,0.0132,LL,-0.258
라라060636,127.566274,34.967717,0,-0.1816,LH,1.527
라라060637,127.566275,34.968619,12,-0.308,LH,4.164
라라060638,127.566276,34.969521,279,4.6239,HH,5.333
라라060646,127.566281,34.976734,0,0.0605,LL,-0.354
라라060649,127.566284,34.97944,0,0.0734,LL,-0.457
라라060652,127.566286,34.982145,0,0.0665,LL,-0.484
라라060662,127.566293,34.991162,12,0.0378,LL,-0.435
라라060690,127.566313,35.016411,0,0.0889,LL,-0.422
라라060729,127.566342,35.051579,7,0.0565,LL,-0.475
라라060731,127.566343,35.053383,0,0.0734,LL,-0.457
라라060764,127.566367,35.08314,0,0.0,이웃없음,-0.298
라라061607,127.567348,34.941566,13,0.0396,LL,-0.512
라라061608,127.567349,34.942467,0,0.0464,LL,-0.466
라라061609,127.56735,34.943369,20,0.0263,LL,-0.48
라라061610,127.56735,34.944271,0,0.0365,LL,-0.333
라라061632,127.567367,34.964109,17,0.0192,LL,-0.321
라라061633,127.567367,34.965011,20,0.0142,LL,-0.344
라라061634,127.567368,34.965913,43,-0.0086,HL,-0.287
라라061635,127.567369,34.966815,46,0.0061,HH,0.198
라라061636,127.56737,34.967716,30,-0.0115,LH,0.78
라라061637,127.56737,34.968618,18,-0.2168,LH,4.012
라라061638,127.567371,34.96952,386,4.8576,HH,4.507
라라061647,127.567378,34.977636,11,0.0605,LL,-0.462
라라061649,127.567379,34.979439,0,0.0785,LL,-0.545
라라061650,127.56738,34.980341,12,0.0469,LL,-0.572
라라061651,127.567381,34.981243,26,0.0195,LL,-0.572
라라061652,127.567381,34.982144,0,0.0605,LL,-0.454
라라061659,127.567387,34.988457,0,0.0,이웃없음,-0.298
라라061662,127.567389,34.991162,9,0.0362,LL,-0.317
라라061663,127.56739,34.992064,19,0.0318,LL,-0.485
라라061664,127.56739,34.992965,0,0.0554,LL,-0.387
라라061666,127.567392,34.994769,0,0.0889,LL,-0.422
라라061667,127.567392,34.995671,0,0.0889,LL,-0.422
라라061717,127.567429,35.040758,0,0.0889,LL,-0.422
라라061721,127.567432,35.044365,0,0.0,이웃없음,-0.298
라라061727,127.567437,35.049775,0,0.0889,LL,-0.422
라라062606,127.568443,34.940663,16,0.0366,LL,-0.423
라라062607,127.568443,34.941565,11,0.0491,LL,-0.626
라라062608,127.568444,34.942467,10,0.0396,LL,-0.505
라라062609,127.568445,34.943369,33,0.0031,LL,-0.557
라라062610,127.568446,34.94427,8,0.0333,LL,-0.333
라라062620,127.568453,34.953288,67,0.0,이웃없음,0.281
라라062625,127.568457,34.957797,0,0.0773,LL,-0.471
